BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
Ar                                                              
LXCat-June2013.txt
How to reference in publications:
1) Yamabe, Buckman, and Phelps, Phys. Rev. 27, 1345 (1983). Revised Oct 1997
2) PHELPS database,http://www.lxcat.laplace.univ-tlse.fr, retrieved June 4, 2013.
 
 
 
 Transport coefficients
A1     Mean energy (eV)                                                
A2     Mobility *N (1/m/V/s)                                           
A6     Diffusion coefficient *N (1/m/s)                                
A11    Energy mobility *N (1/m/V/s)                                    
A12    Energy diffusion coef. D*N (1/m/s)                              
A13    Total collision freq. /N (m3/s)                                 
A14    Momentum frequency /N (m3/s)                                    
A16    Total ionization freq. /N (m3/s)                                
A18    Townsend ioniz. coef. alpha/N (m2)                              
A20    Power /N (eV m3/s)                                              
A21    Elastic power loss /N (eV m3/s)                                 
A22    Inelastic power loss /N (eV m3/s)                               
A23    Growth power /N (eV m3/s)                                       
A27    Maximum energy                                                  
A28    # of iterations                                                 
A29    # of grid trials                                                
          R#    E/N (Td)      A1          A2          A6         A11         A12         A13         A14         A16         A18         A20         A21         A22         A23         A27         A28         A29    
          32   130.1       7.264      0.7637E+24  0.6764E+25  0.1086E+25  0.5480E+25  0.1636E-12  0.2303E-12  0.1729E-15  0.1741E-20  0.1292E-13  0.4349E-16  0.1162E-13  0.1256E-14   51.18       11.00       2.000    
          33   134.0       7.304      0.7609E+24  0.6744E+25  0.1083E+25  0.5481E+25  0.1644E-12  0.2312E-12  0.1877E-15  0.1840E-20  0.1367E-13  0.4391E-16  0.1225E-13  0.1371E-14   51.94       10.00       2.000    
          34   138.0       7.343      0.7581E+24  0.6724E+25  0.1081E+25  0.5482E+25  0.1652E-12  0.2320E-12  0.2031E-15  0.1941E-20  0.1444E-13  0.4432E-16  0.1290E-13  0.1491E-14   52.69       10.00       2.000    
          35   142.0       7.381      0.7556E+24  0.6706E+25  0.1078E+25  0.5484E+25  0.1660E-12  0.2328E-12  0.2191E-15  0.2043E-20  0.1523E-13  0.4473E-16  0.1357E-13  0.1618E-14   53.41       10.00       2.000    
          36   145.9       7.419      0.7531E+24  0.6687E+25  0.1076E+25  0.5487E+25  0.1667E-12  0.2335E-12  0.2358E-15  0.2145E-20  0.1604E-13  0.4513E-16  0.1425E-13  0.1750E-14   55.68       10.00       2.000    
          37   149.9       7.457      0.7507E+24  0.6669E+25  0.1074E+25  0.5489E+25  0.1675E-12  0.2343E-12  0.2530E-15  0.2248E-20  0.1687E-13  0.4552E-16  0.1494E-13  0.1887E-14   56.41       12.00       2.000    
          38   153.9       7.494      0.7484E+24  0.6651E+25  0.1072E+25  0.5492E+25  0.1682E-12  0.2350E-12  0.2709E-15  0.2352E-20  0.1772E-13  0.4592E-16  0.1565E-13  0.2030E-14   57.14       12.00       2.000    
          39   157.8       7.531      0.7462E+24  0.6635E+25  0.1070E+25  0.5496E+25  0.1689E-12  0.2357E-12  0.2894E-15  0.2457E-20  0.1859E-13  0.4630E-16  0.1637E-13  0.2180E-14   57.83       12.00       2.000    
          40   161.8       7.568      0.7440E+24  0.6620E+25  0.1069E+25  0.5500E+25  0.1696E-12  0.2364E-12  0.3084E-15  0.2562E-20  0.1948E-13  0.4668E-16  0.1710E-13  0.2335E-14   58.50       12.00       2.000    
          41   165.8       7.604      0.7418E+24  0.6603E+25  0.1067E+25  0.5504E+25  0.1703E-12  0.2371E-12  0.3280E-15  0.2667E-20  0.2039E-13  0.4706E-16  0.1785E-13  0.2495E-14   59.14       12.00       2.000    
          42   169.8       7.640      0.7397E+24  0.6588E+25  0.1065E+25  0.5508E+25  0.1709E-12  0.2378E-12  0.3483E-15  0.2774E-20  0.2132E-13  0.4743E-16  0.1861E-13  0.2661E-14   59.74       12.00       2.000    
          43   173.7       7.675      0.7378E+24  0.6574E+25  0.1064E+25  0.5513E+25  0.1716E-12  0.2384E-12  0.3692E-15  0.2880E-20  0.2227E-13  0.4780E-16  0.1939E-13  0.2834E-14   62.17       12.00       2.000    
          44   177.7       7.711      0.7358E+24  0.6559E+25  0.1062E+25  0.5518E+25  0.1722E-12  0.2391E-12  0.3905E-15  0.2987E-20  0.2323E-13  0.4816E-16  0.2017E-13  0.3012E-14   62.73       12.00       2.000    
          45   181.7       7.746      0.7338E+24  0.6545E+25  0.1060E+25  0.5523E+25  0.1728E-12  0.2397E-12  0.4125E-15  0.3095E-20  0.2422E-13  0.4852E-16  0.2097E-13  0.3196E-14   63.29       12.00       2.000    
          46   185.6       7.781      0.7320E+24  0.6532E+25  0.1059E+25  0.5529E+25  0.1734E-12  0.2403E-12  0.4352E-15  0.3202E-20  0.2523E-13  0.4888E-16  0.2179E-13  0.3387E-14   63.85       12.00       2.000    
          47   189.6       7.815      0.7303E+24  0.6518E+25  0.1058E+25  0.5534E+25  0.1740E-12  0.2408E-12  0.4584E-15  0.3311E-20  0.2625E-13  0.4923E-16  0.2262E-13  0.3583E-14   64.41       12.00       2.000    
          48   193.6       7.849      0.7283E+24  0.6505E+25  0.1056E+25  0.5539E+25  0.1746E-12  0.2415E-12  0.4821E-15  0.3419E-20  0.2729E-13  0.4957E-16  0.2346E-13  0.3784E-14   67.07       12.00       2.000    
          49   197.5       7.884      0.7267E+24  0.6492E+25  0.1055E+25  0.5546E+25  0.1752E-12  0.2420E-12  0.5064E-15  0.3528E-20  0.2836E-13  0.4993E-16  0.2431E-13  0.3993E-14   67.68       12.00       2.000    
          50   201.5       7.918      0.7250E+24  0.6481E+25  0.1054E+25  0.5553E+25  0.1758E-12  0.2426E-12  0.5314E-15  0.3637E-20  0.2944E-13  0.5027E-16  0.2518E-13  0.4208E-14   68.29       12.00       2.000    
          51   205.5       7.952      0.7234E+24  0.6469E+25  0.1053E+25  0.5560E+25  0.1764E-12  0.2431E-12  0.5569E-15  0.3746E-20  0.3054E-13  0.5062E-16  0.2607E-13  0.4429E-14   68.90       12.00       2.000    
          52   209.5       7.985      0.7218E+24  0.6457E+25  0.1052E+25  0.5567E+25  0.1769E-12  0.2437E-12  0.5829E-15  0.3856E-20  0.3166E-13  0.5095E-16  0.2696E-13  0.4656E-14   69.51       12.00       2.000    
          53   213.4       8.019      0.7201E+24  0.6445E+25  0.1051E+25  0.5573E+25  0.1775E-12  0.2443E-12  0.6095E-15  0.3966E-20  0.3280E-13  0.5129E-16  0.2786E-13  0.4889E-14   70.12       12.00       2.000    
          54   217.4       8.052      0.7184E+24  0.6433E+25  0.1049E+25  0.5579E+25  0.1780E-12  0.2448E-12  0.6366E-15  0.4076E-20  0.3395E-13  0.5162E-16  0.2877E-13  0.5126E-14   70.73       12.00       2.000    
          55   221.4       8.085      0.7170E+24  0.6424E+25  0.1048E+25  0.5588E+25  0.1786E-12  0.2453E-12  0.6644E-15  0.4186E-20  0.3513E-13  0.5196E-16  0.2971E-13  0.5373E-14   73.79       12.00       2.000    
          56   225.3       8.119      0.7154E+24  0.6414E+25  0.1047E+25  0.5596E+25  0.1791E-12  0.2458E-12  0.6927E-15  0.4297E-20  0.3633E-13  0.5229E-16  0.3065E-13  0.5625E-14   74.45       12.00       2.000    
          57   229.3       8.151      0.7139E+24  0.6404E+25  0.1046E+25  0.5603E+25  0.1796E-12  0.2464E-12  0.7214E-15  0.4407E-20  0.3754E-13  0.5261E-16  0.3160E-13  0.5882E-14   75.11       12.00       2.000    
          58   233.3       8.184      0.7124E+24  0.6394E+25  0.1045E+25  0.5611E+25  0.1801E-12  0.2469E-12  0.7509E-15  0.4518E-20  0.3877E-13  0.5294E-16  0.3257E-13  0.6147E-14   75.77       12.00       2.000    
          59   237.2       8.216      0.7109E+24  0.6384E+25  0.1044E+25  0.5619E+25  0.1806E-12  0.2474E-12  0.7808E-15  0.4629E-20  0.4001E-13  0.5326E-16  0.3354E-13  0.6417E-14   76.43       12.00       2.000    
          60   241.2       8.249      0.7096E+24  0.6375E+25  0.1043E+25  0.5628E+25  0.1811E-12  0.2479E-12  0.8113E-15  0.4740E-20  0.4129E-13  0.5358E-16  0.3454E-13  0.6694E-14   77.10       12.00       2.000    
          61   245.2       8.282      0.7082E+24  0.6367E+25  0.1043E+25  0.5637E+25  0.1816E-12  0.2483E-12  0.8424E-15  0.4851E-20  0.4257E-13  0.5390E-16  0.3554E-13  0.6978E-14   77.76       12.00       2.000    
          62   249.2       8.315      0.7069E+24  0.6358E+25  0.1042E+25  0.5646E+25  0.1821E-12  0.2488E-12  0.8740E-15  0.4963E-20  0.4388E-13  0.5423E-16  0.3656E-13  0.7269E-14   78.43       12.00       2.000    
          63   253.1       8.347      0.7055E+24  0.6350E+25  0.1041E+25  0.5655E+25  0.1826E-12  0.2493E-12  0.9062E-15  0.5074E-20  0.4520E-13  0.5454E-16  0.3758E-13  0.7566E-14   79.09       12.00       2.000    
          64   257.1       8.379      0.7041E+24  0.6340E+25  0.1040E+25  0.5663E+25  0.1830E-12  0.2498E-12  0.9388E-15  0.5186E-20  0.4654E-13  0.5486E-16  0.3862E-13  0.7868E-14   82.66       12.00       2.000    
          65   261.1       8.412      0.7029E+24  0.6332E+25  0.1039E+25  0.5673E+25  0.1835E-12  0.2502E-12  0.9720E-15  0.5298E-20  0.4790E-13  0.5517E-16  0.3967E-13  0.8178E-14   83.38       12.00       2.000    
          66   265.0       8.444      0.7016E+24  0.6324E+25  0.1038E+25  0.5683E+25  0.1840E-12  0.2507E-12  0.1006E-14  0.5409E-20  0.4928E-13  0.5549E-16  0.4073E-13  0.8495E-14   84.10       12.00       2.000    
          67   269.0       8.476      0.7003E+24  0.6317E+25  0.1038E+25  0.5692E+25  0.1844E-12  0.2511E-12  0.1040E-14  0.5521E-20  0.5068E-13  0.5580E-16  0.4181E-13  0.8818E-14   84.82       12.00       2.000    
          68   273.0       8.508      0.6991E+24  0.6309E+25  0.1037E+25  0.5702E+25  0.1849E-12  0.2516E-12  0.1075E-14  0.5633E-20  0.5209E-13  0.5611E-16  0.4289E-13  0.9148E-14   85.55       12.00       2.000    
          69   276.9       8.540      0.6979E+24  0.6302E+25  0.1036E+25  0.5712E+25  0.1853E-12  0.2520E-12  0.1110E-14  0.5745E-20  0.5352E-13  0.5642E-16  0.4398E-13  0.9484E-14   86.27       12.00       2.000    
          70   280.9       8.572      0.6966E+24  0.6295E+25  0.1035E+25  0.5722E+25  0.1858E-12  0.2525E-12  0.1146E-14  0.5857E-20  0.5497E-13  0.5673E-16  0.4509E-13  0.9826E-14   86.99       12.00       2.000    
          71   284.9       8.604      0.6953E+24  0.6288E+25  0.1034E+25  0.5732E+25  0.1862E-12  0.2530E-12  0.1182E-14  0.5969E-20  0.5643E-13  0.5703E-16  0.4620E-13  0.1017E-13   87.72       12.00       2.000    
          72   288.8       8.636      0.6942E+24  0.6282E+25  0.1034E+25  0.5743E+25  0.1867E-12  0.2534E-12  0.1219E-14  0.6081E-20  0.5792E-13  0.5734E-16  0.4733E-13  0.1053E-13   88.44       12.00       2.000    
          73   292.8       8.668      0.6930E+24  0.6276E+25  0.1033E+25  0.5754E+25  0.1871E-12  0.2538E-12  0.1257E-14  0.6193E-20  0.5942E-13  0.5765E-16  0.4847E-13  0.1090E-13   89.17       12.00       2.000    
          74   296.8       8.700      0.6919E+24  0.6270E+25  0.1033E+25  0.5765E+25  0.1875E-12  0.2542E-12  0.1295E-14  0.6306E-20  0.6095E-13  0.5795E-16  0.4962E-13  0.1127E-13   89.90       12.00       2.000    
          75   300.8       8.732      0.6909E+24  0.6264E+25  0.1032E+25  0.5776E+25  0.1879E-12  0.2546E-12  0.1333E-14  0.6418E-20  0.6249E-13  0.5826E-16  0.5079E-13  0.1165E-13   90.63       12.00       2.000    
