BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
Ar                                                              
LXCat-June2013.txt
How to reference in publications:
1) Yamabe, Buckman, and Phelps, Phys. Rev. 27, 1345 (1983). Revised Oct 1997
2) PHELPS database,http://www.lxcat.laplace.univ-tlse.fr, retrieved June 4, 2013.
 
 
 
 Transport coefficients
A1     Mean energy (eV)                                                
A2     Mobility *N (1/m/V/s)                                           
A6     Diffusion coefficient *N (1/m/s)                                
A11    Energy mobility *N (1/m/V/s)                                    
A12    Energy diffusion coef. D*N (1/m/s)                              
A13    Total collision freq. /N (m3/s)                                 
A14    Momentum frequency /N (m3/s)                                    
A16    Total ionization freq. /N (m3/s)                                
A18    Townsend ioniz. coef. alpha/N (m2)                              
A20    Power /N (eV m3/s)                                              
A21    Elastic power loss /N (eV m3/s)                                 
A22    Inelastic power loss /N (eV m3/s)                               
A23    Growth power /N (eV m3/s)                                       
A27    Maximum energy                                                  
A28    # of iterations                                                 
A29    # of grid trials                                                
          R#    E/N (Td)      A1          A2          A6         A11         A12         A13         A14         A16         A18         A20         A21         A22         A23         A27         A28         A29    
          54   530.0       10.61      0.6427E+24  0.6162E+25  0.1003E+25  0.6631E+25  0.2077E-12  0.2737E-12  0.4368E-14  0.1282E-19  0.1805E-12  0.7543E-16  0.1341E-12  0.4635E-13   179.4       19.00       3.000    
          55   540.0       10.69      0.6413E+24  0.6167E+25  0.1003E+25  0.6679E+25  0.2084E-12  0.2743E-12  0.4535E-14  0.1310E-19  0.1870E-12  0.7619E-16  0.1384E-12  0.4851E-13   182.1       19.00       3.000    
          56   550.0       10.78      0.6399E+24  0.6172E+25  0.1002E+25  0.6727E+25  0.2091E-12  0.2749E-12  0.4704E-14  0.1337E-19  0.1936E-12  0.7695E-16  0.1428E-12  0.5073E-13   184.8       19.00       3.000    
          57   560.0       10.86      0.6382E+24  0.6176E+25  0.1001E+25  0.6773E+25  0.2098E-12  0.2756E-12  0.4874E-14  0.1364E-19  0.2001E-12  0.7770E-16  0.1471E-12  0.5298E-13   187.6       19.00       3.000    
          58   570.0       10.95      0.6366E+24  0.6181E+25  0.9993E+24  0.6819E+25  0.2105E-12  0.2763E-12  0.5046E-14  0.1391E-19  0.2068E-12  0.7846E-16  0.1515E-12  0.5528E-13   190.4       19.00       3.000    
          59   580.0       11.04      0.6356E+24  0.6194E+25  0.9996E+24  0.6882E+25  0.2112E-12  0.2767E-12  0.5226E-14  0.1418E-19  0.2138E-12  0.7924E-16  0.1560E-12  0.5772E-13   193.2       19.00       3.000    
          60   590.0       11.13      0.6344E+24  0.6202E+25  0.9989E+24  0.6934E+25  0.2118E-12  0.2772E-12  0.5407E-14  0.1444E-19  0.2208E-12  0.8001E-16  0.1606E-12  0.6019E-13   196.0       19.00       3.000    
          61   600.0       11.21      0.6332E+24  0.6209E+25  0.9982E+24  0.6985E+25  0.2125E-12  0.2778E-12  0.5589E-14  0.1471E-19  0.2280E-12  0.8078E-16  0.1652E-12  0.6272E-13   198.8       19.00       3.000    
          62   610.0       11.30      0.6317E+24  0.6216E+25  0.9970E+24  0.7034E+25  0.2131E-12  0.2784E-12  0.5771E-14  0.1498E-19  0.2351E-12  0.8155E-16  0.1697E-12  0.6527E-13   201.7       18.00       3.000    
          63   620.0       11.39      0.6302E+24  0.6223E+25  0.9959E+24  0.7084E+25  0.2138E-12  0.2791E-12  0.5956E-14  0.1524E-19  0.2423E-12  0.8232E-16  0.1743E-12  0.6788E-13   204.6       18.00       3.000    
          64   630.0       11.48      0.6288E+24  0.6231E+25  0.9948E+24  0.7135E+25  0.2144E-12  0.2797E-12  0.6143E-14  0.1550E-19  0.2496E-12  0.8309E-16  0.1790E-12  0.7055E-13   207.4       18.00       3.000    
          65   640.0       11.57      0.6275E+24  0.6240E+25  0.9939E+24  0.7188E+25  0.2150E-12  0.2803E-12  0.6332E-14  0.1577E-19  0.2570E-12  0.8386E-16  0.1837E-12  0.7330E-13   210.4       18.00       3.000    
          66   650.0       11.66      0.6265E+24  0.6252E+25  0.9932E+24  0.7243E+25  0.2156E-12  0.2808E-12  0.6527E-14  0.1603E-19  0.2647E-12  0.8466E-16  0.1885E-12  0.7615E-13   213.3       18.00       3.000    
          67   660.0       11.75      0.6252E+24  0.6263E+25  0.9922E+24  0.7297E+25  0.2163E-12  0.2813E-12  0.6722E-14  0.1629E-19  0.2724E-12  0.8545E-16  0.1933E-12  0.7903E-13   216.2       17.00       3.000    
          68   670.0       11.84      0.6240E+24  0.6274E+25  0.9912E+24  0.7351E+25  0.2169E-12  0.2818E-12  0.6919E-14  0.1655E-19  0.2801E-12  0.8624E-16  0.1981E-12  0.8198E-13   219.2       17.00       3.000    
          69   680.0       11.93      0.6229E+24  0.6286E+25  0.9903E+24  0.7406E+25  0.2175E-12  0.2824E-12  0.7118E-14  0.1681E-19  0.2880E-12  0.8704E-16  0.2030E-12  0.8499E-13   222.1       17.00       3.000    
          70   690.0       12.02      0.6214E+24  0.6295E+25  0.9893E+24  0.7460E+25  0.2180E-12  0.2830E-12  0.7317E-14  0.1706E-19  0.2959E-12  0.8781E-16  0.2078E-12  0.8803E-13   236.7       17.00       3.000    
          71   700.0       12.12      0.6204E+24  0.6309E+25  0.9884E+24  0.7516E+25  0.2187E-12  0.2835E-12  0.7521E-14  0.1732E-19  0.3040E-12  0.8862E-16  0.2128E-12  0.9119E-13   239.9       17.00       3.000    
          72   710.0       12.21      0.6193E+24  0.6322E+25  0.9875E+24  0.7573E+25  0.2192E-12  0.2840E-12  0.7727E-14  0.1757E-19  0.3122E-12  0.8942E-16  0.2178E-12  0.9441E-13   243.1       17.00       3.000    
          73   720.0       12.30      0.6183E+24  0.6337E+25  0.9868E+24  0.7632E+25  0.2198E-12  0.2845E-12  0.7936E-14  0.1783E-19  0.3205E-12  0.9023E-16  0.2228E-12  0.9771E-13   246.3       17.00       3.000    
          74   730.0       12.40      0.6172E+24  0.6351E+25  0.9858E+24  0.7689E+25  0.2204E-12  0.2850E-12  0.8145E-14  0.1808E-19  0.3289E-12  0.9104E-16  0.2278E-12  0.1010E-12   249.5       18.00       3.000    
          75   740.0       12.49      0.6160E+24  0.6364E+25  0.9848E+24  0.7747E+25  0.2209E-12  0.2855E-12  0.8355E-14  0.1833E-19  0.3373E-12  0.9184E-16  0.2329E-12  0.1044E-12   252.8       18.00       3.000    
          76   750.0       12.59      0.6148E+24  0.6377E+25  0.9838E+24  0.7804E+25  0.2215E-12  0.2861E-12  0.8567E-14  0.1858E-19  0.3458E-12  0.9265E-16  0.2379E-12  0.1079E-12   256.0       19.00       3.000    
          77   760.0       12.68      0.6136E+24  0.6389E+25  0.9826E+24  0.7860E+25  0.2220E-12  0.2867E-12  0.8780E-14  0.1883E-19  0.3544E-12  0.9344E-16  0.2430E-12  0.1114E-12   259.3       19.00       3.000    
          78   770.0       12.77      0.6124E+24  0.6403E+25  0.9816E+24  0.7918E+25  0.2225E-12  0.2872E-12  0.8995E-14  0.1908E-19  0.3631E-12  0.9425E-16  0.2481E-12  0.1150E-12   262.5       19.00       3.000    
          79   780.0       12.87      0.6116E+24  0.6421E+25  0.9809E+24  0.7980E+25  0.2231E-12  0.2876E-12  0.9217E-14  0.1932E-19  0.3721E-12  0.9508E-16  0.2534E-12  0.1187E-12   265.8       19.00       3.000    
          80   790.0       12.97      0.6107E+24  0.6438E+25  0.9802E+24  0.8042E+25  0.2236E-12  0.2880E-12  0.9439E-14  0.1957E-19  0.3811E-12  0.9592E-16  0.2586E-12  0.1225E-12   269.1       19.00       3.000    
          81   800.0       13.07      0.6097E+24  0.6455E+25  0.9793E+24  0.8103E+25  0.2242E-12  0.2885E-12  0.9662E-14  0.1981E-19  0.3902E-12  0.9676E-16  0.2639E-12  0.1263E-12   272.5       19.00       3.000    
          82   810.0       13.16      0.6087E+24  0.6471E+25  0.9782E+24  0.8163E+25  0.2247E-12  0.2890E-12  0.9885E-14  0.2005E-19  0.3993E-12  0.9759E-16  0.2691E-12  0.1302E-12   275.8       19.00       3.000    
          83   820.0       13.26      0.6076E+24  0.6488E+25  0.9771E+24  0.8223E+25  0.2252E-12  0.2895E-12  0.1011E-13  0.2029E-19  0.4086E-12  0.9842E-16  0.2744E-12  0.1342E-12   279.1       19.00       3.000    
          84   830.0       13.36      0.6066E+24  0.6505E+25  0.9762E+24  0.8285E+25  0.2257E-12  0.2899E-12  0.1034E-13  0.2053E-19  0.4179E-12  0.9925E-16  0.2797E-12  0.1382E-12   282.5       19.00       3.000    
          85   840.0       13.46      0.6056E+24  0.6522E+25  0.9753E+24  0.8347E+25  0.2262E-12  0.2904E-12  0.1057E-13  0.2077E-19  0.4273E-12  0.1001E-15  0.2850E-12  0.1423E-12   285.9       19.00       3.000    
          86   850.0       13.56      0.6047E+24  0.6540E+25  0.9744E+24  0.8411E+25  0.2267E-12  0.2909E-12  0.1080E-13  0.2101E-19  0.4369E-12  0.1009E-15  0.2904E-12  0.1465E-12   289.3       20.00       3.000    
          87   860.0       13.66      0.6037E+24  0.6558E+25  0.9735E+24  0.8474E+25  0.2271E-12  0.2913E-12  0.1103E-13  0.2124E-19  0.4465E-12  0.1018E-15  0.2958E-12  0.1507E-12   292.7       20.00       3.000    
          88   870.0       13.76      0.6026E+24  0.6575E+25  0.9723E+24  0.8535E+25  0.2276E-12  0.2919E-12  0.1126E-13  0.2148E-19  0.4561E-12  0.1026E-15  0.3011E-12  0.1550E-12   296.1       20.00       3.000    
          89   880.0       13.86      0.6016E+24  0.6594E+25  0.9713E+24  0.8598E+25  0.2281E-12  0.2923E-12  0.1149E-13  0.2171E-19  0.4659E-12  0.1035E-15  0.3065E-12  0.1594E-12   299.5       20.00       3.000    
          90   890.0       13.96      0.6008E+24  0.6614E+25  0.9703E+24  0.8662E+25  0.2286E-12  0.2928E-12  0.1173E-13  0.2194E-19  0.4759E-12  0.1043E-15  0.3120E-12  0.1639E-12   302.9       20.00       3.000    
          91   900.0       14.06      0.5999E+24  0.6635E+25  0.9694E+24  0.8727E+25  0.2291E-12  0.2932E-12  0.1197E-13  0.2217E-19  0.4860E-12  0.1052E-15  0.3175E-12  0.1684E-12   306.4       20.00       3.000    
          92   910.0       14.16      0.5992E+24  0.6656E+25  0.9686E+24  0.8794E+25  0.2295E-12  0.2936E-12  0.1221E-13  0.2240E-19  0.4962E-12  0.1061E-15  0.3231E-12  0.1731E-12   309.9       20.00       3.000    
          93   920.0       14.26      0.5982E+24  0.6677E+25  0.9678E+24  0.8862E+25  0.2300E-12  0.2940E-12  0.1245E-13  0.2263E-19  0.5063E-12  0.1069E-15  0.3286E-12  0.1778E-12   365.0       27.00       4.000    
          94   930.0       14.37      0.5974E+24  0.6699E+25  0.9670E+24  0.8929E+25  0.2305E-12  0.2944E-12  0.1270E-13  0.2286E-19  0.5167E-12  0.1078E-15  0.3341E-12  0.1826E-12   369.1       27.00       4.000    
          95   940.0       14.47      0.5965E+24  0.6720E+25  0.9660E+24  0.8995E+25  0.2309E-12  0.2949E-12  0.1294E-13  0.2308E-19  0.5271E-12  0.1087E-15  0.3397E-12  0.1874E-12   373.2       27.00       4.000    
          96   950.0       14.57      0.5957E+24  0.6742E+25  0.9651E+24  0.9062E+25  0.2313E-12  0.2953E-12  0.1319E-13  0.2330E-19  0.5376E-12  0.1095E-15  0.3453E-12  0.1924E-12   377.3       27.00       4.000    
          97   960.0       14.68      0.5946E+24  0.6761E+25  0.9639E+24  0.9126E+25  0.2318E-12  0.2958E-12  0.1343E-13  0.2353E-19  0.5480E-12  0.1104E-15  0.3508E-12  0.1973E-12   381.5       27.00       4.000    
          98   970.0       14.78      0.5936E+24  0.6781E+25  0.9628E+24  0.9191E+25  0.2322E-12  0.2963E-12  0.1368E-13  0.2375E-19  0.5585E-12  0.1113E-15  0.3563E-12  0.2023E-12   385.6       27.00       4.000    
          99   980.0       14.89      0.5927E+24  0.6803E+25  0.9618E+24  0.9258E+25  0.2326E-12  0.2967E-12  0.1392E-13  0.2397E-19  0.5693E-12  0.1122E-15  0.3619E-12  0.2074E-12   389.8       27.00       4.000    
         100   990.0       14.99      0.5920E+24  0.6826E+25  0.9608E+24  0.9325E+25  0.2331E-12  0.2971E-12  0.1418E-13  0.2419E-19  0.5802E-12  0.1131E-15  0.3676E-12  0.2127E-12   394.0       27.00       4.000    
         101   1000.       15.10      0.5912E+24  0.6850E+25  0.9599E+24  0.9394E+25  0.2335E-12  0.2975E-12  0.1443E-13  0.2440E-19  0.5912E-12  0.1140E-15  0.3733E-12  0.2180E-12   398.3       27.00       4.000    
 
 
